record_id	ecosystem	component_scope	entry_kind	authority_path	lock_path	dependency_name	declared_constraint	resolved_version	source_type	source_locator	integrity_evidence	platform_or_environment_marker	dependency_group	directness	current_product_value	new_baseline_value	delta_classification	reproducibility_classification	security_classification	lock_authority	required_action	owner_ticket	evidence_status	notes
P15M3-00001	npm	desktop	authority_file	2_products/pepper-agent/apps/bootstrap-installer/package.json	not_applicable	package.json	sha256:0c8f725df481fa0ca31a9958c695906766c442bd9ff2853635cd8e489d58e64a	1910_bytes	committed_git_blob	2_products/pepper-agent/apps/bootstrap-installer/package.json	content_hash_present	not_applicable	authority	authority_file	85ea89d2d320b8db43d1f00379dc36a18aac7baf1aee43cae9b91010e4e9f2dc	0c8f725df481fa0ca31a9958c695906766c442bd9ff2853635cd8e489d58e64a	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	workspace_root_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=1910
P15M3-00002	cargo	desktop	authority_file	2_products/pepper-agent/apps/bootstrap-installer/src-tauri/Cargo.toml	not_applicable	Cargo.toml	sha256:93d6c6d3908a7a0a2fa4bedd72a50878a7445a05013e86809c8a8ec67cdbb4a4	2248_bytes	committed_git_blob	2_products/pepper-agent/apps/bootstrap-installer/src-tauri/Cargo.toml	content_hash_present	not_applicable	authority	authority_file	93d6c6d3908a7a0a2fa4bedd72a50878a7445a05013e86809c8a8ec67cdbb4a4	93d6c6d3908a7a0a2fa4bedd72a50878a7445a05013e86809c8a8ec67cdbb4a4	unchanged	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=2248
P15M3-00003	npm	desktop	authority_file	2_products/pepper-agent/apps/desktop/package.json	not_applicable	package.json	sha256:801b62b7322e8c7c4769abf0e2cf75d383bf507bfc7542ef46cc0b657b624f73	9677_bytes	committed_git_blob	2_products/pepper-agent/apps/desktop/package.json	content_hash_present	not_applicable	authority	authority_file	6446fb3b2ab06552e0c7a3be7cd486d3b7d9731f385d6a39ecacad7097d160c2	801b62b7322e8c7c4769abf0e2cf75d383bf507bfc7542ef46cc0b657b624f73	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	workspace_root_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=9677
P15M3-00004	npm	shared_frontend_package	authority_file	2_products/pepper-agent/apps/shared/package.json	not_applicable	package.json	sha256:710ecbd328b32ab84464fb7a8a33363ca78439ee2e32e980caa5702cc26fff9c	702_bytes	committed_git_blob	2_products/pepper-agent/apps/shared/package.json	content_hash_present	not_applicable	authority	authority_file	3acfce7e36c2861a946ba791db70a08753843732829120072f3a493d670b9ca8	710ecbd328b32ab84464fb7a8a33363ca78439ee2e32e980caa5702cc26fff9c	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	workspace_root_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=702
P15M3-00005	python	root_python_project	authority_file	2_products/pepper-agent/constraints-termux.txt	not_applicable	constraints-termux.txt	sha256:bc8b69cc8ece3f4c65c104a6462d0bf1d70132ea993e4a4c771a4098c15cbdd8	422_bytes	committed_git_blob	2_products/pepper-agent/constraints-termux.txt	content_hash_present	not_applicable	authority	authority_file	bc8b69cc8ece3f4c65c104a6462d0bf1d70132ea993e4a4c771a4098c15cbdd8	bc8b69cc8ece3f4c65c104a6462d0bf1d70132ea993e4a4c771a4098c15cbdd8	unchanged	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=422
P15M3-00006	container_image	container	authority_file	2_products/pepper-agent/docker-compose.yml	not_applicable	docker-compose.yml	sha256:df314eea77ea70e2580c96c532ebf33c9da1d8b191150852fcbebd6a0452530e	3530_bytes	committed_git_blob	2_products/pepper-agent/docker-compose.yml	content_hash_present	not_applicable	authority	authority_file	df314eea77ea70e2580c96c532ebf33c9da1d8b191150852fcbebd6a0452530e	df314eea77ea70e2580c96c532ebf33c9da1d8b191150852fcbebd6a0452530e	unchanged	not_applicable	acceptable_for_internal_analysis	not_applicable	retain_as_static_authority	P15.M3	parsed	authority file bytes=3530
P15M3-00007	container_image	container	authority_file	2_products/pepper-agent/Dockerfile	not_applicable	Dockerfile	sha256:25b3ec8a3726324f0cdfe9a95ad68eacb30d9d0e0b47fe7f884ee57ec0a2df15	20681_bytes	committed_git_blob	2_products/pepper-agent/Dockerfile	content_hash_present	not_applicable	authority	authority_file	f2ba5713e5b91b2aa7d8c629fed6a10a0f3796705c45271c834bc3f8d5471ffa	25b3ec8a3726324f0cdfe9a95ad68eacb30d9d0e0b47fe7f884ee57ec0a2df15	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	system_packages_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=20681
P15M3-00008	python	root_python_project	authority_file	2_products/pepper-agent/hermes_cli/setup.py	not_applicable	setup.py	sha256:3f04f65daf5a0084445027093ccb8746211ab662e3acba44107478b3d3da8890	141466_bytes	committed_git_blob	2_products/pepper-agent/hermes_cli/setup.py	content_hash_present	not_applicable	authority	authority_file	37cd6a77746d8b5dff4bca1514267fdf19743a47b48e44c1cfd5d5af3d58bcb8	3f04f65daf5a0084445027093ccb8746211ab662e3acba44107478b3d3da8890	source_changed_upstream	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=141466
P15M3-00009	python	root_python_project	authority_file	2_products/pepper-agent/hermes_cli/subcommands/setup.py	not_applicable	setup.py	sha256:a05390dfda90c926ae3965df3cf26a8e30a8755f12d34398ac514aae74880b21	2239_bytes	committed_git_blob	2_products/pepper-agent/hermes_cli/subcommands/setup.py	content_hash_present	not_applicable	authority	authority_file	a05390dfda90c926ae3965df3cf26a8e30a8755f12d34398ac514aae74880b21	a05390dfda90c926ae3965df3cf26a8e30a8755f12d34398ac514aae74880b21	unchanged	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=2239
P15M3-00010	python	skill:dcf-model	authority_file	2_products/pepper-agent/optional-skills/finance/dcf-model/requirements.txt	not_applicable	requirements.txt	sha256:c46e897bd9b37b6da13a8a96f9f5c4a1247e2489821ddb52884fc03a8a0973c7	122_bytes	committed_git_blob	2_products/pepper-agent/optional-skills/finance/dcf-model/requirements.txt	content_hash_present	not_applicable	authority	authority_file	c46e897bd9b37b6da13a8a96f9f5c4a1247e2489821ddb52884fc03a8a0973c7	c46e897bd9b37b6da13a8a96f9f5c4a1247e2489821ddb52884fc03a8a0973c7	unchanged	not_applicable	acceptable_for_internal_analysis	manifest_only_no_lock	retain_as_static_authority	P15.M3	parsed	authority file bytes=122
